list_name,name,label
xi9yo24,yes,Yes
xi9yo24,no,No
fail000,failed_scan,Failed Scan
fail001,failed_scan,Failed Scan
fail002,failed_scan,Failed Scan
fail003,failed_scan,Failed Scan
fail004,failed_scan,Failed Scan
fail005,failed_scan,Failed Scan
fail006,failed_scan,Failed Scan
fail007,failed_scan,Failed Scan
fail008,failed_scan,Failed Scan
fail009,failed_scan,Failed Scan
fail010,failed_scan,Failed Scan
fail011,failed_scan,Failed Scan
fail012,failed_scan,Failed Scan
fail013,failed_scan,Failed Scan
fail014,failed_scan,Failed Scan
fail015,failed_scan,Failed Scan
fail016,failed_scan,Failed Scan
fail017,failed_scan,Failed Scan
fail018,failed_scan,Failed Scan
fail019,failed_scan,Failed Scan
fail020,failed_scan,Failed Scan
fail021,failed_scan,Failed Scan
fail022,failed_scan,Failed Scan
fail023,failed_scan,Failed Scan
