type,name,label,hint,default,required,appearance,media::image,relevant,calculation
start,start,,,,,,,,
end,end,,,,,,,,
today,today,,,,,,,,
username,username,,,,,,,,
begin_group,intro_group,Welcome to Precision Sustainable Agriculture Data Collection form for Cover Crop Biomass Harvest and Decomposition Bags.  ,,,,field-list,,,
note,form_name,Form Name,,psa_biomass,false,,,,
note,form_version,Version,,v4,false,,,,
note,hotline,If you have a problem or need assistance with this protocol you can call our PSA On-Farm Hotline: (919) 410-7841,,,,,,,
select_one 123poiu,biomass_only,Will you be doing the full Decomp Bag protocol or Biomass Only?,,,TRUE,,,,
note,materials_list_biomass_only,"Materials Needed: 1) Bags pre-weighed with barcodes - see the Kobo Form ""psa bag pre wt"" for more information first.  2) hand shears or cutting tools 3) meter sticks 4) PPE",,,false,,,${biomass_only}='biomass_only',
note,materials_list_decomp_bags,"Materials Needed: 1) Decomp Bags pre-weighed with barcodes - see the Kobo Form ""bag pre wt"" for more information first. 2) XL plastic bags for biomass harvest 3) hand shears or cutting tools 4) meter sticks 5) field scale to at least 1 decimal point 6) large plastic tub 7) small plastic tub 8) gloves 9) PPE 10) glyphosate and pre-emergents in a spray backpack 11) landscape staples and flags",,,false,,,${biomass_only}='bags',
note,scale_accuracy_note,"Scale Reminder:  Bring a scale that weighs in grams. +/- 0.1g. Accuracy to  at least one decimal place, use the same scale, or very similar accuracy that you will use for the fresh weight and dry weight of the same bag later on in the process.
",,,,,,${biomass_only}='bags',
select_one my95g71,first_time,Is this your first time collecting biomass on-farm for PSA?,,,false,,,,
end_group,,,,,,,,,
begin_group,instructions_group,Biomass Instructions,,,,field-list,,${first_time}='yes',
text,url,PSA Instructional Video for Collecting Biomass with Kobo Collect,,https://youtu.be/01JHEI2Z23A,,url,,${first_time}='yes',
text,url2,PSA Protocol for Biomass and Decomp Bags,access through the Google Drive,https://docs.google.com/document/d/1VCGoRWoIpadd96jmpdEcjRWy5ia3nNR8rJ07_XL_K7Y/edit,,url,biomass_diagram.jpg,${first_time}='yes',
note,scale_pic,First time weighing decomp bags in the field? Here's a sample scale setup with windblock.,,,,,biomass_scale_setup.png,${first_time}='yes' and ${biomass_only}='bags',
end_group,,,,,,,,,
note,safetynote,"SAFTEY: Communicate with the grower about when and which pesticides were used. Use proper re-entry periods and safe handling methods when harvesting biomass with herbicides.  Always use gloves when handling biomass treated with herbicides, and evaluate whether you can use safe grinding procedures when processing biomass later.  
",,,,,,,
text,code,What is the 3 letter site Code?,,,true,,,,
date,termination_date,Record the termination date of the cover crop by the farmer,Biomass harvest should be +/- 3 to 4 days around termination,,false,,,,
begin_group,group_cc_growth_species,Cover Crop Species,,,,field-list,,,
select_multiple 567rtyu,which_species,Which of the following do you have in your cover crop?,select all that apply,,FALSE,,,,
select_one fgh1234,growth_stage_grains,What is the growth stage of your grains?,Ignore if not relevant,,FALSE,,Feekes-diagram.png,,
select_one 50ty501,growth_stage_legumes,What is the growth stage of your legumes?,Ignore if not relevant,,FALSE,,,,
select_one wer2345,growth_stage_brassicas,What is the growth stage of your brassicas?,Ignore if not relevant,,FALSE,,,,
end_group,,,,,,,,,
