type,name,label,hint,required,appearance,default,relevant,calculation
start,start,,,,,,,
end,end,,,,,,,
username,username,,,,,,,
begin_group,group_pf9ew33,PSA Farm Interview,,false,field-list,,,
note,form_name,Form Name,,false,,psa_farm_interview,,
note,form_version,Version,,false,,v1_2021,,
note,note1,Field technicians--   Thank you for taking the time to complete this survey with each of your growers.  This important field history data will help us understand patterns across a variety of demographic and contextual variables. We could not do this work without you!   Please carefully read the following guidelines before you begin.        The first group of questions ask for general contact information and can be completed prior to sitting down with the grower.               Swipe left to advance to the next screen.,,false,,,,
end_group,,,,,,,,
note,note2,"You may save and exit the survey form at any point during completion. However, if there are required fields, it may ask you to fill those before saving. Saved forms will be stored on your device within the KoBoCollect App and can be edited at any time by clicking ""Edit Saved Forms"" in the main menu.  However, once a form has been uploaded (by selecting ""Send Finalized Form""  in the main menu), it can no longer be edited.",,false,,,,
note,note3,"You will be responsible for entering the data into the survey form, not the grower. This can be done over the phone or in-person, but you will need to schedule dedicated time to talk through these questions.     The survey has 20 general farm questions and 21 site specific questions and should take around 25 to 30 minutes to complete.",,false,,,,
note,note4,"If a grower has multiple trial fields, the survey will automatically prompt you to enter data for the additional fields; thus you only need to complete one survey per grower.  You will need to know the 3-letter trial code(s) associated with each trial field.",,false,,,,
note,noteswipe,"Swipe left for the first group of questions.       If you arrive at the end of a group, and are not prompted to Submit, swipe left.",,false,,,,
begin_group,group_ct2kn52,Technician and Farmer Contact Information,,false,field-list,,,
text,state,"1. State [please enter the two-letter abbreviation for your state, example: NC]",,false,,,,
text,tech,2. Field tech last name,,false,,,,
text,tech_phone,3. Field tech phone number,,false,,,,
text,tech_email,4. Field tech email,,false,,,,
text,grower_last_name,5. Grower last name,,true,,,,
text,grower_phone,6. Grower phone number,,false,,,,
text,grower_email,7. Grower email,,false,,,,
end_group,,,,,,,,
select_one yy77y77,farm_or_station,"Is this a farm or research station? (If this is a research station, you will skip the farmer interview portion and go directly to site history information.)",,true,,,,
begin_group,group_social_sci_survey,General Whole Farm Survey,,false,field-list,,${farm_or_station} = 'farm',
note,note5,Please have the grower respond to the questions that follow.,,false,,,,
integer,crop_acres,"8. As of today, how many total acres do you plant in crops? [acres]",,false,,,,
select_multiple dq65c45,farm_crop_rotation,9. What crops are GENERALLY in your crop rotation?,,false,,,,
integer,cover_crop_acres,"10. As of today, how many of your total cropped acres are in COVER CROPS? [acres]",,false,,,,
integer,cover_crop_acres_terminated,"10.a Clarification:  If COVER CROPS have already been terminated, how many acres did you have of winter cover crops prior to termination? [# acres, or leave blank if not applicable]",,false,,,${cover_crop_acres} = 0,
integer,cover_crop_acres_typical,"11.  If this was a particularly bad or otherwise non-representative year, how many acres do you typically have of winter COVER CROPS?  [# acres, or leave blank if not applicable]",,false,,,,
integer,first_year_cover_crop,"12. In what year did you first plant COVER CROPS? [four digit year, example : 1985] *reminder, for a grower to participate, this may not be their first time planting cover crops",,false,,,,
select_one xe2wp37,every_year,13. Have you planted COVER CROPS every year since?,,false,,,,
select_one ny01y01,favorite_cover_crop,14. Do you have a favorite cover crop?,,false,,,,
